Tow Date,Make,Style,Model,Color,Plate,State,Towed to Address,Tow Facility Phone,Inventory Number
04/17/2022,FORD,LL,,BLU,,IL,10300 S. Doty,(773) 568-8495,2931467
03/03/2022,MAZD,4T,,RED,CH45902,IL,701 N. Sacramento,(773) 265-7605,7025826
05/04/2022,JEEP,LL,,SIL,CN45158,IL,701 N. Sacramento,(773) 265-7605,7030436
03/25/2022,CHEV,VN,,RED,,IL,10300 S. Doty,(773) 568-8495,2930443
02/27/2022,FORD,4D,,GRY,DG22734,IL,400 E. Lower Wacker,(312) 744-7550,0253515
03/03/2022,FORD,LL,,TAN,22876PT,IL,701 N. Sacramento,(773) 265-7605,7025849
02/27/2022,VOLK,4D,,BLK,CE11329,IL,400 E. Lower Wacker,(312) 744-7550,0253516
03/30/2022,SATR,LL,,SIL,BN56088,IL,701 N. Sacramento,(773) 265-7605,7028398
04/07/2022,GMC,LL,,GRY,CW53809,IL,10300 S. Doty,(773) 568-8495,2931048
05/04/2022,TOYT,4D,,GRY,,IL,701 N. Sacramento,(773) 265-1846,1543622
02/27/2022,JEEP,4D,,WHI,Z782089,IL,400 E. Lower Wacker,(312) 744-7550,0253519
04/30/2022,NISS,4D,,GRY,CY86641,IL,701 N. Sacramento,(773) 265-7605,7030219
05/04/2022,FORD,PK,,SIL,2224557B,IL,701 N. Sacramento,(773) 265-7605,7030434
04/01/2022,CHEV,4D,,RED,,IL,10300 S. Doty,(773) 568-8495,2930820
02/27/2022,HYUN,4D,,BLK,CZ87770,IL,400 E. Lower Wacker,(312) 744-7550,0253520
03/17/2022,PONT,4D,,GRY,BW34857,IL,400 E. Lower Wacker,(312) 744-7550,0254600
04/16/2022,AUDI,4T,,GRY,AM48241,IL,701 N. Sacramento,(773) 265-7605,7029345
03/28/2022,FORD,LL,TK,BLU,DB56873,IL,10300 S. Doty,(773) 568-8495,2930660
05/02/2022,NISS,4D,,BLK,AZ36333,IL,10300 S. Doty,(773) 568-8495,499460
02/11/2022,DODG,LL,TK,WHI,CB69749,IL,10300 S. Doty,(773) 568-8495,2928216
02/18/2022,,LL,,WHI,179869H,IL,10300 S. Doty,(773) 568-8495,2928556
02/19/2022,NISS,4D,,BLK,CS27024,IL,701 N. Sacramento,(773) 265-7605,7024824
04/07/2022,CHEV,4D,,BLU,BM12880,IL,701 N. Sacramento,(773) 265-7605,7028819
04/07/2022,PONT,4D,,GRY,853AA100,IL,10300 S. Doty,(773) 568-8495,2931049
04/16/2022,BUIC,LL,,WHI,GSC403,MN,701 N. Sacramento,(773) 265-7605,7029348
02/20/2022,CHEV,LL,TK,GRN,,IL,701 N. Sacramento,(773) 265-7605,7024828
03/03/2022,JEEP,LL,,RED,CG94981,IL,10300 S. Doty,(773) 568-8495,2929255
04/22/2022,PONT,4D,,SIL,DF80589,IL,701 N. Sacramento,(773) 265-7605,7029688
03/22/2022,CHRY,4T,,LGR,CT26143,IL,10300 S. Doty,(773) 568-8495,2930269
04/05/2022,FORD,4D,,GRY,CL79960,IL,10300 S. Doty,(773) 568-8495,2930945
04/16/2022,MERC,4T,,SIL,AD34471,IL,701 N. Sacramento,(773) 265-7605,7029341
04/01/2022,FORD,4D,,BLU,,IL,701 N. Sacramento,(773) 265-7605,7028536
04/07/2022,FORD,2D,,SIL,Y965453,IL,10300 S. Doty,(773) 568-8495,2931052
04/07/2022,DODG,4D,,BRO,CQ55198,IL,10300 S. Doty,(773) 568-8495,2931047
04/09/2022,CHRY,4D,,WHI,P438339,IL,10300 S. Doty,(773) 568-8495,2931192
04/16/2022,SUBA,SW,,BLU,R440253,IL,701 N. Sacramento,(773) 265-7605,7029346
04/22/2022,CHEV,LL,TK,BGE,CR52599,IL,10300 S. Doty,(773) 568-8495,2931678
03/29/2022,FORD,4D,,BLK,,IL,10300 S. Doty,(773) 568-8495,2930716
02/13/2022,JEEP,LL,,RED,,IL,10300 S. Doty,(773) 568-8495,2928360
05/02/2022,DODG,4D,,BLK,,IL,10300 S. Doty,(773) 785-9752,1723124
03/03/2022,NISS,4T,,SIL,BA75452,IL,701 N. Sacramento,(773) 265-7605,7025863
03/03/2022,LINC,4T,,WHI,CL61116,IL,10300 S. Doty,(773) 568-8495,2929256
04/22/2022,MERC,2T,,SIL,CF79916,IL,10300 S. Doty,(773) 568-8495,2931676
04/07/2022,INFI,4D,,GLD,5304BD,IL,10300 S. Doty,(773) 568-8495,2931050
03/03/2022,MAZD,LL,,SIL,DEF0629,IL,10300 S. Doty,(773) 568-8495,2929253
04/07/2022,KIA,LL,TK,WHI,DE76559,IL,10300 S. Doty,(773) 568-8495,2931051
03/10/2022,HOND,4D,,GRY,BP39513,IL,400 E. Lower Wacker,(312) 744-7550,0254196
03/07/2022,,OB,,WHI,,IL,10300 S. Doty,(773) 568-8495,2929492
03/03/2022,MAZD,LL,,SIL,DEF0629,IL,10300 S. Doty,(773) 568-8495,2929253
02/23/2022,AUDI,LL,,GRY,FRUORD,IL,701 N. Sacramento,(773) 265-7605,7025113
04/12/2022,NISS,SW,,WHI,,IL,701 N. Sacramento,(773) 265-7605,7029135
03/03/2022,NISS,4T,,SIL,DC96562,IL,701 N. Sacramento,(773) 265-7605,7025861
02/09/2022,JEEP,LL,,SIL,CG85192,IL,10300 S. Doty,(773) 785-9752,1722904
05/02/2022,,,,WHI,,IL,701 N. Sacramento,(773) 265-1846,1543606
03/03/2022,KIA,4T,,WHI,DH52454,IL,10300 S. Doty,(773) 568-8495,2929250
02/27/2022,FORD,PK,TK,BLK,,IL,701 N. Sacramento,(773) 265-7605,7025410
04/26/2022,VOLV,4D,,BLU,,,10300 S. Doty,(773) 568-8495,2931850
05/02/2022,GMC,LL,,BLK,CV35697,IL,10300 S. Doty,(773) 568-8495,2931993
02/13/2022,PONT,4D,,SIL,,IL,701 N. Sacramento,(773) 265-7605,7024281
04/13/2022,INFI,4D,,BLK,A632584,IL,701 N. Sacramento,(773) 265-1846,1543528
04/17/2022,HYUN,4D,,BLU,937AA663,IL,10300 S. Doty,(773) 568-8495,2931468
03/23/2022,CHRY,VN,TNC,WHI,,,701 N. Sacramento,(773) 265-7605,7027746
03/09/2022,NISS,4D,,GRY,,,10300 S. Doty,(773) 568-8495,2930145
03/03/2022,MITS,LL,,SIL,NHW3406,TX,701 N. Sacramento,(773) 265-7605,7025859
04/01/2022,CHRY,VN,,RED,,,701 N. Sacramento,(773) 265-7605,7028539
04/22/2022,AUDI,4D,,BLK,CZ60968,IL,10300 S. Doty,(773) 568-8495,2931680
04/05/2022,KIA,LL,,RED,,IL,10300 S. Doty,(773) 568-8495,2930952
04/01/2022,CHEV,4D,,SIL,CN48154,IL,701 N. Sacramento,(773) 265-1846,1543489
05/02/2022,,MC,,RED,,IL,10300 S. Doty,(773) 568-8495,499461
03/18/2022,,VN,,BGE,,IL,10300 S. Doty,(773) 785-9752,1722992
04/02/2022,CHEV,4D,,BLU,,IL,701 N. Sacramento,(773) 265-7605,7028625
04/09/2022,JEEP,LL,,SIL,,,701 N. Sacramento,(773) 265-7605,7028979
04/02/2022,CHRY,VN,,BLU,,IL,701 N. Sacramento,(773) 265-7605,7028626
04/07/2022,NISS,4T,,GRY,593ZCP,AR,10300 S. Doty,(773) 568-8495,2931043
02/27/2022,TOYT,4D,,BLK,CJ45384,IL,400 E. Lower Wacker,(312) 744-7550,0253521
04/16/2022,HOND,4T,,BLK,BL75982,IL,701 N. Sacramento,(773) 265-7605,7029334
05/04/2022,JEEP,LL,,BLK,,IL,10300 S. Doty,(773) 568-8495,2932119
04/02/2022,PONT,2D,,LBL,DG84121,IL,701 N. Sacramento,(773) 265-7605,7028627
04/20/2022,MAZD,4D,,SIL,CW21895,IL,10300 S. Doty,(773) 568-8495,2931613
04/22/2022,BUIC,4D,,BLU,R040695,IN,10300 S. Doty,(773) 568-8495,2931681
03/08/2022,CADI,4D,,BLK,CT13668,IL,10300 S. Doty,(773) 568-8495,2929546
03/19/2022,TOYT,4T,,RED,AN32521,IL,701 N. Sacramento,(773) 265-7605,7027308
04/02/2022,FORD,LL,,TAN,TLZ672,IN,10300 S. Doty,(773) 568-8495,2930861
05/04/2022,GMC,LL,TK,WHI,CU16057,IL,10300 S. Doty,(773) 568-8495,2932117
04/22/2022,CADI,4D,,BLK,E285376,IL,701 N. Sacramento,(773) 265-7605,7029695
04/07/2022,HYUN,4D,,BLU,,IL,701 N. Sacramento,(773) 265-7605,7028823
05/04/2022,DODG,VN,TK,BLU,CY20850,IL,10300 S. Doty,(773) 568-8495,2932113
03/03/2022,MERC,LL,,BLK,BAILSWS,IL,10300 S. Doty,(773) 568-8495,2929252
03/03/2022,BMW,LL,,BRO,BR24269,IL,701 N. Sacramento,(773) 265-7605,7025860
03/22/2022,CHEV,4D,,RED,CB79516,IL,10300 S. Doty,(773) 568-8495,2930260
03/03/2022,CHEV,PK,,WHI,1307GCD,IL,10300 S. Doty,(773) 568-8495,2929254
04/07/2022,HOND,4T,,RED,CE73817,IL,701 N. Sacramento,(773) 265-7605,7028821
04/05/2022,NISS,4T,,WHI,,IL,10300 S. Doty,(773) 568-8495,2930953
05/04/2022,CHEV,LL,,WHI,CR47228,IL,10300 S. Doty,(773) 785-9752,1723140
04/02/2022,GMC,LL,,DGR,CR38151,IL,10300 S. Doty,(773) 568-8495,2930862
02/09/2022,FORD,LL,,TAN,CS18840,IL,701 N. Sacramento,(773) 265-7605,7023885
03/17/2022,MAZD,LL,,WHI,BD89907,IL,701 N. Sacramento,(773) 265-1846,1543424
04/16/2022,AUDI,LL,,BLK,P265616,IL,701 N. Sacramento,(773) 265-7605,7029352
04/20/2022,CHEV,4D,,RED,DF41220,IL,701 N. Sacramento,(773) 265-7605,7029629
03/01/2022,DODG,4D,,WHI,AMD1763,WI,701 N. Sacramento,(773) 265-7605,7025690
04/01/2022,CHEV,4D,,TAN,DF13055,IL,400 E. Lower Wacker,(312) 744-7550,0255550
04/02/2022,CHRY,2D,,RED,DG18983,IL,10300 S. Doty,(773) 568-8495,2930863
04/02/2022,CHEV,LL,,SIL,CU62197,IL,701 N. Sacramento,(773) 265-7605,7028629
05/04/2022,CADI,4D,,GRY,,IL,10300 S. Doty,(773) 785-9752,1723139
04/01/2022,FORD,4D,,RED,ZZ73468,IL,10300 S. Doty,(773) 568-8495,2930824
02/19/2022,TOYT,4D,,BLU,CS79448,IL,10300 S. Doty,(773) 568-8495,2928621
04/01/2022,SUBA,LL,,SIL,151FCE,IN,10300 S. Doty,(773) 568-8495,2930825
04/07/2022,HOND,4T,,GRY,BM38108,IL,701 N. Sacramento,(773) 265-7605,7028825
03/07/2022,SATR,LL,,BLK,CZ74402,IL,10300 S. Doty,(773) 568-8495,2929495
03/07/2022,FORD,LL,TK,GRY,CD46097,IL,10300 S. Doty,(773) 568-8495,2929496
04/01/2022,FORD,PK,,WHI,,IL,10300 S. Doty,(773) 785-9752,1723026
04/02/2022,MITS,4D,,SIL,,,10300 S. Doty,(773) 568-8495,2930866
04/07/2022,BMW,4T,,GRY,759661C,MT,701 N. Sacramento,(773) 265-7605,7028824
04/02/2022,FORD,4D,,SIL,P429463,IN,10300 S. Doty,(773) 568-8495,2930865
04/20/2022,ACUR,4D,,BLK,,IL,10300 S. Doty,(773) 785-9752,1723088
04/20/2022,TOYT,4D,,GRY,,IL,10300 S. Doty,(773) 568-8495,2931614
04/16/2022,HOND,LL,,GRY,R748924,IL,701 N. Sacramento,(773) 265-7605,7029335
04/16/2022,HOND,LL,,GRY,R748924,IL,701 N. Sacramento,(773) 265-7605,7029335
03/30/2022,DODG,4D,,ONG,CH98232,IL,10300 S. Doty,(773) 568-8495,2930747
05/04/2022,HOND,4D,,BLK,BP54176,IL,400 E. Lower Wacker,(312) 744-7550,0257406
02/25/2022,PONT,4T,,GRY,CU35832,IL,10300 S. Doty,(773) 568-8495,2928900
03/03/2022,FORD,PK,,RED,13401NB,IL,10300 S. Doty,(773) 568-8495,2929240
04/13/2022,TOYT,4D,,SIL,BT60053,IL,10300 S. Doty,(773) 568-8495,2931350
03/01/2022,ACUR,4D,,GRY,,IL,10300 S. Doty,(773) 568-8495,2929185
04/13/2022,CADI,4D,DEV,BLK,,,10300 S. Doty,(773) 568-8495,2931349
04/30/2022,SUBA,4D,,BGE,BG14822,IL,701 N. Sacramento,(773) 265-7605,7030224
04/16/2022,MAZD,SW,,WHI,TFU260,SC,701 N. Sacramento,(773) 265-7605,7029353
05/04/2022,CHEV,LL,TK,BLK,CM33480,IL,10300 S. Doty,(773) 568-8495,2932121
03/01/2022,CHEV,2D,,BLK,AG46039,IL,701 N. Sacramento,(773) 265-7605,7025689
03/09/2022,KIA,4D,,GRY,GWDY58,FL,10300 S. Doty,(773) 568-8495,2929548
04/01/2022,OLDS,4D,,BRO,,IL,10300 S. Doty,(773) 568-8495,2930823
05/02/2022,CHEC,4D,,BLK,,IL,701 N. Sacramento,(773) 265-1846,1543607
04/01/2022,MASE,4D,,BLK,,IL,10300 S. Doty,(773) 568-8495,2930822
03/03/2022,CADI,LL,,GRY,CF17433,IL,10300 S. Doty,(773) 568-8495,2929259
05/02/2022,HOND,4D,,GRY,CH46790,IL,701 N. Sacramento,(773) 265-7605,7030375
04/30/2022,TOYT,4D,,BLU,CX87812,IL,701 N. Sacramento,(773) 265-7605,7030225
03/30/2022,LAND,LL,,BLK,BR25149,IL,701 N. Sacramento,(773) 265-7605,7028403
03/29/2022,CHEV,4D,,SIL,CU61850,IL,10300 S. Doty,(773) 568-8495,2930718
02/05/2022,NISS,4D,,GRY,940P46,NV,10300 S. Doty,(773) 568-8495,2927844
02/09/2022,DODG,4D,,GRY,CZ18850,IL,10300 S. Doty,(773) 568-8495,2928043
03/30/2022,NISS,4D,,TAN,,IL,701 N. Sacramento,(773) 265-7605,7028401
03/03/2022,NISS,4T,,BLU,BV30385,IL,10300 S. Doty,(773) 568-8495,2929260
02/05/2022,CHEV,4D,,SIL,,,701 N. Sacramento,(773) 265-7605,7023608
03/08/2022,CHEV,4D,,GRY,CS73807,IL,400 E. Lower Wacker,(312) 744-7550,0254041
02/05/2022,CHEV,4D,,BLK,,,701 N. Sacramento,(773) 265-7605,7023607
03/03/2022,TOYT,4D,,GRN,CX97819,IL,701 N. Sacramento,(773) 265-7605,7025832
03/22/2022,CHEV,4T,,BLK,2643504,IL,10300 S. Doty,(773) 568-8495,2930278
03/29/2022,LINC,LL,,WHI,CA99423,IL,10300 S. Doty,(773) 568-8495,2930719
03/08/2022,NISS,4D,,BLK,DC15982,IL,701 N. Sacramento,(773) 265-7605,7026345
04/16/2022,AUDI,4D,,BLU,,IL,10300 S. Doty,(773) 568-8495,2931428
03/29/2022,FORD,4D,,GRY,AY33101,IL,400 E. Lower Wacker,(312) 744-7550,0255369
03/03/2022,JEEP,LL,,GRY,NZG0812,TX,10300 S. Doty,(773) 568-8495,2929258
02/14/2022,FORD,LL,TK,BLK,DF28727,IL,10300 S. Doty,(773) 568-8495,2928405
03/03/2022,CHRY,4T,,BLK,N195753,IL,10300 S. Doty,(773) 568-8495,2929257
03/30/2022,FORD,PK,,WHI,,IL,10300 S. Doty,(773) 785-9752,1723023
04/07/2022,SUBA,LL,,SIL,576974,IL,10300 S. Doty,(773) 568-8495,2931056
02/25/2022,CHEV,LL,,SIL,BW90303,IL,10300 S. Doty,(773) 568-8495,2928915
03/03/2022,JEEP,LL,,GRN,CJ56457,IL,10300 S. Doty,(773) 568-8495,2929251
04/07/2022,DODG,4T,,BLU,CU24565,IL,10300 S. Doty,(773) 568-8495,2931054
02/28/2022,FORD,4D,,BLK,XYZ35,IL,10300 S. Doty,(773) 568-8495,2929146
03/03/2022,TOYT,4T,,TAN,BC64208,IL,701 N. Sacramento,(773) 265-7605,7025869
03/03/2022,HOND,4T,,BLK,CW30366,IL,701 N. Sacramento,(773) 265-7605,7025870
04/07/2022,BUIC,LL,,WHI,BZ42632,IL,10300 S. Doty,(773) 568-8495,2931053
03/17/2022,JEEP,LL,,BLK,CY64412,IL,701 N. Sacramento,(773) 265-7605,7027170
03/29/2022,CHEV,LL,,SIL,,IL,701 N. Sacramento,(773) 265-7605,7028324
04/07/2022,SUBA,4D,,RED,Y7722885,IL,701 N. Sacramento,(773) 265-7605,7028827
04/07/2022,INFI,4D,,SIL,CS27020,IL,701 N. Sacramento,(773) 265-7605,7028826
04/16/2022,FORD,LL,,BLU,NMZ0016,TX,701 N. Sacramento,(773) 265-7605,7029354
04/16/2022,INFI,LL,,MAR,CD70235,IL,701 N. Sacramento,(773) 265-7605,7029336
04/16/2022,LEXS,LL,,GRY,CZ20261,IL,701 N. Sacramento,(773) 265-7605,7029361
04/01/2022,FORD,LL,,WHI,M128067,IL,10300 S. Doty,(773) 568-8495,2930828
02/13/2022,TOYT,LL,TK,GRY,CJ99105,IL,701 N. Sacramento,(773) 265-7605,7024191
04/13/2022,TOYT,4H,,BLK,,,10300 S. Doty,(773) 568-8495,2931351
03/15/2022,TOYT,4D,,TAN,CX61459,IL,400 E. Lower Wacker,(312) 744-7550,0254425
02/15/2022,FORD,4D,,RED,CY84651,IL,701 N. Sacramento,(773) 265-7605,7024358
04/02/2022,VOLK,4D,,GRY,BY48898,IL,701 N. Sacramento,(773) 265-7605,7028634
03/09/2022,BMW,4D,,GRY,DF38806,IL,10300 S. Doty,(773) 568-8495,2929547
04/01/2022,CHEV,4D,,WHI,MRK007,MN,10300 S. Doty,(773) 568-8495,2930827
04/16/2022,NISS,4T,,GRY,895DGJ,IN,10300 S. Doty,(773) 568-8495,2931429
03/30/2022,JEEP,LL,,BLU,BN86292,IL,10300 S. Doty,(773) 785-9752,1723022
02/20/2022,SATR,4D,,GLD,,,701 N. Sacramento,(773) 265-7605,7024841
04/20/2022,HOND,VN,,BLU,973153,IL,701 N. Sacramento,(773) 265-1846,1543557
03/19/2022,TOYT,4D,,GRY,BG86675,IL,701 N. Sacramento,(773) 265-7605,7027341
04/16/2022,GMC,LL,,WHI,JKHN25,FL,701 N. Sacramento,(773) 265-7605,7029366
02/27/2022,KIA,4D,,MAR,CH29652,IL,400 E. Lower Wacker,(312) 744-7550,0253523
04/02/2022,CHEV,2D,,WHI,DE15643,IL,701 N. Sacramento,(773) 265-7605,7028635
05/04/2022,CHRY,4D,,GRY,CR82517,IL,10300 S. Doty,(773) 568-8495,2932118
04/16/2022,JEEP,LL,,GRY,CG18029,IL,701 N. Sacramento,(773) 265-7605,7029355
04/01/2022,HOND,4D,,WHI,532AA405,IL,701 N. Sacramento,(773) 265-7605,7028541
03/19/2022,VOLK,4D,,SIL,DH84086,IL,701 N. Sacramento,(773) 265-7605,7027342
04/30/2022,MERC,4D,,BLK,R309956,IL,701 N. Sacramento,(773) 265-7605,7030230
03/13/2022,KIA,4D,,RED,,IL,701 N. Sacramento,(773) 265-7605,7026845
04/07/2022,LINC,LL,,BLK,CQ64982,IL,10300 S. Doty,(773) 568-8495,2931055
04/16/2022,JAGU,LL,,GRY,CY81476,IL,701 N. Sacramento,(773) 265-7605,7029357
03/16/2022,SUBA,SW,,GRY,J90NVW,NJ,701 N. Sacramento,(773) 265-7605,7027048
02/11/2022,NISS,4D,,BLK,CJ71871,IL,10300 S. Doty,(773) 568-8495,2928222
04/12/2022,MERZ,4D,,BLK,,IL,701 N. Sacramento,(773) 265-7605,7029138
05/04/2022,BUIC,4D,,WHI,AQ49769,IL,701 N. Sacramento,(773) 265-1846,1543625
02/07/2022,CHEV,4D,,GRY,CV70289,IL,701 N. Sacramento,(773) 265-7605,7023786
04/05/2022,FORD,4D,,BLU,BM56957,IL,400 E. Lower Wacker,(312) 744-7550,0255693
05/04/2022,CHEV,LL,,GRY,CT27588,IL,10300 S. Doty,(773) 568-8495,2932114
04/16/2022,VOLK,4T,,BLK,AR36438,IL,701 N. Sacramento,(773) 265-7605,7029359
04/22/2022,FORD,4D,,BLK,DD38945,IL,701 N. Sacramento,(773) 265-7605,7029693
04/20/2022,HOND,2D,,RED,,IL,701 N. Sacramento,(773) 265-1846,1543558
03/13/2022,TOYT,4D,,WHI,,IL,400 E. Lower Wacker,(312) 744-7550,0254
05/02/2022,CHEV,PK,,BLK,TS1527,WI,701 N. Sacramento,(773) 265-7605,7030377
05/04/2022,CHRY,4D,,MAR,CH56974,IL,701 N. Sacramento,(773) 265-1846,1543623
03/19/2022,BMW,4D,,BLK,DC53938,IL,701 N. Sacramento,(773) 265-7605,7027340
04/05/2022,DODG,VN,,LBL,DF73109,IL,10300 S. Doty,(773) 568-8495,2930956
02/21/2022,CADI,4D,,BLK,BF28644,IL,10300 S. Doty,(773) 568-8495,2928713
03/13/2022,BUIC,LL,,MAR,CN20246,IL,701 N. Sacramento,(773) 265-7605,7026846
04/26/2022,TOYT,4D,,BGE,DF60301,IL,701 N. Sacramento,(773) 265-7605,7029966
04/27/2022,CHEV,LL,,GRY,651AA114,IL,701 N. Sacramento,(773) 265-7605,7029965
04/03/2022,PONT,4D,,GRY,BZ24093,IL,10300 S. Doty,(773) 568-8495,2930834
04/30/2022,TOYT,4D,,BLK,F945879,IL,10300 S. Doty,(773) 568-8495,2931948
04/12/2022,HYUN,4D,,WHI,DD56808,IL,10300 S. Doty,(773) 568-8495,2931306
03/19/2022,LEXS,4D,,GRY,BN45723,IL,701 N. Sacramento,(773) 265-7605,7027344
03/23/2022,KIA,4D,,ONG,,,10300 S. Doty,(773) 568-8495,2930372
03/23/2022,CHRY,4D,,BLK,AMD7940,WI,10300 S. Doty,(773) 568-8495,2930371
04/22/2022,HOND,4D,,GRN,795AA614,IL,10300 S. Doty,(773) 568-8495,2931685
03/08/2022,VOLK,4D,,GRY,,,701 N. Sacramento,(773) 265-7605,7026348
02/11/2022,HYUN,4D,,GRY,,IL,10300 S. Doty,(773) 568-8495,2928218
05/04/2022,,UT,,WHI,,IL,701 N. Sacramento,(773) 265-1846,1543624
03/30/2022,CADI,LL,,RED,,IL,10300 S. Doty,(773) 568-8495,2930761
04/16/2022,CHEV,LL,,BLK,CW46077,IL,701 N. Sacramento,(773) 265-7605,7029364
04/13/2022,MERZ,LL,,GLD,CV79615,IL,701 N. Sacramento,(773) 265-7605,7029224
03/13/2022,CHRY,VN,,GRY,DL5808,IL,400 E. Lower Wacker,(312) 744-7550,0254345
04/12/2022,DODG,VN,,GRY,,IL,10300 S. Doty,(773) 568-8495,2931305
04/16/2022,CHEV,4T,,BLU,CC85689,IL,701 N. Sacramento,(773) 265-7605,7029367
03/25/2022,NISS,LL,,BLK,CM39502,IL,10300 S. Doty,(773) 568-8495,2930462
04/23/2022,ACUR,4D,,BLK,AT80812,IL,400 E. Lower Wacker,(312) 744-7550,0256737
03/22/2022,FORD,LL,,DGR,S723468,IL,701 N. Sacramento,(773) 265-7605,7027345
04/13/2022,CHRY,4D,,WHI,P295883,IN,10300 S. Doty,(773) 568-8495,2931353
04/17/2022,JEEP,LL,,RED,CM36677,IL,10300 S. Doty,(773) 568-8495,2931470
05/04/2022,HOND,4D,,SIL,P999599,IL,400 E. Lower Wacker,(312) 744-7550,0257409
04/27/2022,CHRY,4D,,GRY,S332075,IL,701 N. Sacramento,(773) 265-7605,7029968
04/30/2022,HOND,2D,,TAN,,IL,701 N. Sacramento,(773) 265-7605,7030233
04/16/2022,INFI,4T,,BLK,BE59539,IL,701 N. Sacramento,(773) 265-7605,7029363
04/20/2022,CHEV,2D,,GRY,LWD6008,TX,701 N. Sacramento,(773) 265-7605,7029625
03/19/2022,CHEV,4D,,BLK,AR79270,IL,701 N. Sacramento,(773) 265-7605,7027346
02/25/2022,AUDI,4T,,BLK,CB16396,IL,10300 S. Doty,(773) 568-8495,2928905
02/11/2022,VOLK,4D,,GRY,,,10300 S. Doty,(773) 568-8495,2928219
05/04/2022,CHEV,4D,,BLK,Z203305,IL,400 E. Lower Wacker,(312) 744-7550,0257411
03/30/2022,MITS,LL,,BLK,BX86962,IL,701 N. Sacramento,(773) 265-7605,7028405
02/25/2022,DODG,4D,,BLK,,IL,10300 S. Doty,(773) 568-8495,2928903
04/22/2022,TOYT,4T,,BLU,CM80474,IL,10300 S. Doty,(773) 568-8495,2931683
04/16/2022,CHEV,4T,,BLK,003308A6,IL,701 N. Sacramento,(773) 265-7605,7029362
04/08/2022,JEEP,LL,,BLK,,IL,10300 S. Doty,(773) 568-8495,2931154
03/16/2022,AUDI,4D,,RED,ENT3189,MI,701 N. Sacramento,(773) 265-7605,7027049
04/30/2022,SUBA,LL,,BLU,CF65530,IL,701 N. Sacramento,(773) 265-7605,7030234
02/28/2022,PONT,4D,,BLK,CH61894,IL,701 N. Sacramento,(773) 265-7605,7025600
04/30/2022,JEEP,LL,,RED,AD55571,IL,701 N. Sacramento,(773) 265-7605,7030232
03/19/2022,HOND,LL,,GRY,JGY2321,OH,701 N. Sacramento,(773) 265-7605,7027343
02/28/2022,HOND,2D,,BLK,BR51373,IL,701 N. Sacramento,(773) 265-7605,7025598
03/19/2022,LEXS,LL,,SIL,TAXMAN,IL,701 N. Sacramento,(773) 265-7605,7027337
03/12/2022,TOYT,4T,,BLK,BN82560,IL,10300 S. Doty,(773) 568-8495,2929742
03/30/2022,CHRY,4D,,GRY,AEG2676,WI,701 N. Sacramento,(773) 265-7605,7028408
02/09/2022,SUBA,4D,,BLK,CJ77808,IL,10300 S. Doty,(773) 568-8495,2928048
04/16/2022,TOYT,4T,,BLK,LTWZ05,FL,701 N. Sacramento,(773) 265-7605,7029358
03/19/2022,FORD,4T,,WHI,BK32800,IL,10300 S. Doty,(773) 568-8495,2930127
02/25/2022,BUIC,4T,,MAR,CQ98700,IL,10300 S. Doty,(773) 568-8495,2928927
05/02/2022,VOLK,4D,,GRY,617EB1,IL,701 N. Sacramento,(773) 265-7605,7030378
04/23/2022,CHEV,4D,,BLU,CR62225,IL,701 N. Sacramento,(773) 265-7605,7029807
03/29/2022,MERC,LL,,BLU,CJ62707,IL,10300 S. Doty,(773) 785-9752,1723019
03/29/2022,CADI,4D,,BLK,,IL,10300 S. Doty,(773) 785-9752,1723020
04/16/2022,NISS,LL,,GRY,CN64373,IL,701 N. Sacramento,(773) 265-7605,7029365
04/23/2022,BUIC,LL,,GRY,ECC3982,MI,701 N. Sacramento,(773) 265-7605,7029808
05/02/2022,FORD,,,BLU,3120785B,IL,701 N. Sacramento,(773) 265-1846,1543608
03/29/2022,FORD,4D,,GRY,CK56091,IL,10300 S. Doty,(773) 568-8495,2930722
04/09/2022,CHEV,4D,,RED,428397,IL,10300 S. Doty,(773) 568-8495,2931194
02/25/2022,ACUR,LL,,BLK,DF95406,IL,400 E. Lower Wacker,(312) 744-7550,0253427
04/27/2022,HOND,4D,,MAR,Z743733,IL,701 N. Sacramento,(773) 265-7605,7029962
04/27/2022,TOYT,4D,,WHI,DF55519,IL,10300 S. Doty,(773) 568-8495,2931880
03/03/2022,MAZD,4D,,BLU,CY81334,IL,701 N. Sacramento,(773) 265-7605,7025833
02/21/2022,JEEP,4D,CHE,BLK,CZ14204,IL,701 N. Sacramento,(773) 265-7605,7024980
03/12/2022,HOND,4T,,GRY,N523239,IL,10300 S. Doty,(773) 568-8495,2929738
04/27/2022,NISS,SW,,GRY,DD59421,IL,701 N. Sacramento,(773) 265-7605,7029969
02/11/2022,FORD,PK,,WHI,,IL,701 N. Sacramento,(773) 265-7605,7024019
03/23/2022,CHEV,LL,,GRY,,IL,701 N. Sacramento,(773) 265-7605,7027753
05/02/2022,FORD,LL,,WHI,DC94170,IL,701 N. Sacramento,(773) 265-1846,1543609
04/23/2022,CHEV,LL,,BLK,EZMON,IL,10300 S. Doty,(773) 568-8495,2931755
03/13/2022,FORD,4D,,SIL,ZY74761,IL,701 N. Sacramento,(773) 265-7605,7026849
02/25/2022,FORD,LL,,BLK,Z316681,IL,10300 S. Doty,(773) 568-8495,2928918
